Headline,Summary,Link,Ticker,RetrievalScore,Sentiment
"Fact check: Government flags fake X accounts impersonating Vyomika Singh, Sofia Qureshi",The Press Information Bureau’s (PIB) fact-checking unit has clarified that neither Wing Commander Vyomika Singh nor Colonel Sofia Qureshi maintains an official presence on X.,https://www.moneycontrol.com/news/business/fact-check-government-flags-fake-x-accounts-impersonating-vyomika-singh-sofia-qureshi-13019951.html,GOODLUCK.NS,0.493,negative
"Fact check: Government flags fake X accounts impersonating Vyomika Singh, Sofia Qureshi",The Press Information Bureau’s (PIB) fact-checking unit has clarified that neither Wing Commander Vyomika Singh nor Colonel Sofia Qureshi maintains an official presence on X.,https://www.moneycontrol.com/news/business/fact-check-government-flags-fake-x-accounts-impersonating-vyomika-singh-sofia-qureshi-13019951.html,SHILPAMED.NS,0.493,negative
"Fact check: Government flags fake X accounts impersonating Vyomika Singh, Sofia Qureshi",The Press Information Bureau’s (PIB) fact-checking unit has clarified that neither Wing Commander Vyomika Singh nor Colonel Sofia Qureshi maintains an official presence on X.,https://www.moneycontrol.com/news/business/fact-check-government-flags-fake-x-accounts-impersonating-vyomika-singh-sofia-qureshi-13019951.html,NETWORK18.NS,0.49,negative
"Fact check: Government flags fake X accounts impersonating Vyomika Singh, Sofia Qureshi",The Press Information Bureau’s (PIB) fact-checking unit has clarified that neither Wing Commander Vyomika Singh nor Colonel Sofia Qureshi maintains an official presence on X.,https://www.moneycontrol.com/news/business/fact-check-government-flags-fake-x-accounts-impersonating-vyomika-singh-sofia-qureshi-13019951.html,VBL.NS,0.488,negative
"Fact check: Government flags fake X accounts impersonating Vyomika Singh, Sofia Qureshi",The Press Information Bureau’s (PIB) fact-checking unit has clarified that neither Wing Commander Vyomika Singh nor Colonel Sofia Qureshi maintains an official presence on X.,https://www.moneycontrol.com/news/business/fact-check-government-flags-fake-x-accounts-impersonating-vyomika-singh-sofia-qureshi-13019951.html,TANLA.NS,0.488,negative
SP Group launches internal inquiry on arrest of executive in bribery case,"The CBI arrested Jeevan Lal Lavidiya, Commissioner of Income Tax (Exemption), Hyderabad, for allegedly accepting a bribe of ₹70 lakh to favour the Shapoorji Pallonji Group.",https://www.moneycontrol.com/news/business/sp-group-launches-internal-inquiry-on-arrest-of-executive-in-bribery-case-13019943.html,CESC.NS,0.521,negative
SP Group launches internal inquiry on arrest of executive in bribery case,"The CBI arrested Jeevan Lal Lavidiya, Commissioner of Income Tax (Exemption), Hyderabad, for allegedly accepting a bribe of ₹70 lakh to favour the Shapoorji Pallonji Group.",https://www.moneycontrol.com/news/business/sp-group-launches-internal-inquiry-on-arrest-of-executive-in-bribery-case-13019943.html,RIIL.NS,0.513,negative
SP Group launches internal inquiry on arrest of executive in bribery case,"The CBI arrested Jeevan Lal Lavidiya, Commissioner of Income Tax (Exemption), Hyderabad, for allegedly accepting a bribe of ₹70 lakh to favour the Shapoorji Pallonji Group.",https://www.moneycontrol.com/news/business/sp-group-launches-internal-inquiry-on-arrest-of-executive-in-bribery-case-13019943.html,SHILPAMED.NS,0.512,negative
SP Group launches internal inquiry on arrest of executive in bribery case,"The CBI arrested Jeevan Lal Lavidiya, Commissioner of Income Tax (Exemption), Hyderabad, for allegedly accepting a bribe of ₹70 lakh to favour the Shapoorji Pallonji Group.",https://www.moneycontrol.com/news/business/sp-group-launches-internal-inquiry-on-arrest-of-executive-in-bribery-case-13019943.html,RELINFRA.NS,0.512,negative
SP Group launches internal inquiry on arrest of executive in bribery case,"The CBI arrested Jeevan Lal Lavidiya, Commissioner of Income Tax (Exemption), Hyderabad, for allegedly accepting a bribe of ₹70 lakh to favour the Shapoorji Pallonji Group.",https://www.moneycontrol.com/news/business/sp-group-launches-internal-inquiry-on-arrest-of-executive-in-bribery-case-13019943.html,ENGINERSIN.NS,0.51,negative
"Adani Power to supply 1,500 MW to Uttar Pradesh","This is further to the Uttar Pradesh cabinet approving the project earlier this month, a company statement said.",https://www.moneycontrol.com/news/business/adani-power-to-supply-1-500-mw-to-uttar-pradesh-13019937.html,ADANIPOWER.NS,0.733,neutral
"Adani Power to supply 1,500 MW to Uttar Pradesh","This is further to the Uttar Pradesh cabinet approving the project earlier this month, a company statement said.",https://www.moneycontrol.com/news/business/adani-power-to-supply-1-500-mw-to-uttar-pradesh-13019937.html,ADANIGREEN.NS,0.716,neutral
"Adani Power to supply 1,500 MW to Uttar Pradesh","This is further to the Uttar Pradesh cabinet approving the project earlier this month, a company statement said.",https://www.moneycontrol.com/news/business/adani-power-to-supply-1-500-mw-to-uttar-pradesh-13019937.html,RTNPOWER.NS,0.646,neutral
"Adani Power to supply 1,500 MW to Uttar Pradesh","This is further to the Uttar Pradesh cabinet approving the project earlier this month, a company statement said.",https://www.moneycontrol.com/news/business/adani-power-to-supply-1-500-mw-to-uttar-pradesh-13019937.html,GIPCL.NS,0.64,neutral
"Adani Power to supply 1,500 MW to Uttar Pradesh","This is further to the Uttar Pradesh cabinet approving the project earlier this month, a company statement said.",https://www.moneycontrol.com/news/business/adani-power-to-supply-1-500-mw-to-uttar-pradesh-13019937.html,RPOWER.NS,0.631,neutral
"Govt calls on Bharat Forge, Mahindra to expand production of key defence equipment: Report","Private vendors have been directed to enhance supplies of anti-drone and smart ammunition, as well as armoured vehicles capable of integrating loitering munitions and guided missiles.",https://www.moneycontrol.com/news/business/govt-calls-on-bharat-forge-mahindra-to-expand-production-of-key-defence-equipment-report-13019928.html,BHARATFORG.NS,0.713,positive
"Govt calls on Bharat Forge, Mahindra to expand production of key defence equipment: Report","Private vendors have been directed to enhance supplies of anti-drone and smart ammunition, as well as armoured vehicles capable of integrating loitering munitions and guided missiles.",https://www.moneycontrol.com/news/business/govt-calls-on-bharat-forge-mahindra-to-expand-production-of-key-defence-equipment-report-13019928.html,BEL.NS,0.706,positive
"Govt calls on Bharat Forge, Mahindra to expand production of key defence equipment: Report","Private vendors have been directed to enhance supplies of anti-drone and smart ammunition, as well as armoured vehicles capable of integrating loitering munitions and guided missiles.",https://www.moneycontrol.com/news/business/govt-calls-on-bharat-forge-mahindra-to-expand-production-of-key-defence-equipment-report-13019928.html,BDL.NS,0.704,positive
"Govt calls on Bharat Forge, Mahindra to expand production of key defence equipment: Report","Private vendors have been directed to enhance supplies of anti-drone and smart ammunition, as well as armoured vehicles capable of integrating loitering munitions and guided missiles.",https://www.moneycontrol.com/news/business/govt-calls-on-bharat-forge-mahindra-to-expand-production-of-key-defence-equipment-report-13019928.html,SOLARINDS.NS,0.672,positive
"Govt calls on Bharat Forge, Mahindra to expand production of key defence equipment: Report","Private vendors have been directed to enhance supplies of anti-drone and smart ammunition, as well as armoured vehicles capable of integrating loitering munitions and guided missiles.",https://www.moneycontrol.com/news/business/govt-calls-on-bharat-forge-mahindra-to-expand-production-of-key-defence-equipment-report-13019928.html,PREMEXPLN.NS,0.655,positive
"CBI arrests Commissioner IT, Shapoorji Pallonji group executive in Rs 70 lakh bribery case","Lavidiya, a 2004-batch Indian Revenue Service officer, was arrested along with Viral Kantilal Mehta, Deputy General Manager (Taxation) of Shapoorji Pallonji Group; Sairam Palisetty; Natta Veera Naga Sri Ram Gopal; and Sajida Majhar Hussain Shah, they said.",https://www.moneycontrol.com/news/business/cbi-arrests-commissioner-it-shapoorji-pallonji-group-executive-in-rs-70-lakh-bribery-case-13019914.html,TATAINVEST.NS,0.536,negative
"CBI arrests Commissioner IT, Shapoorji Pallonji group executive in Rs 70 lakh bribery case","Lavidiya, a 2004-batch Indian Revenue Service officer, was arrested along with Viral Kantilal Mehta, Deputy General Manager (Taxation) of Shapoorji Pallonji Group; Sairam Palisetty; Natta Veera Naga Sri Ram Gopal; and Sajida Majhar Hussain Shah, they said.",https://www.moneycontrol.com/news/business/cbi-arrests-commissioner-it-shapoorji-pallonji-group-executive-in-rs-70-lakh-bribery-case-13019914.html,CDSL.NS,0.536,negative
"CBI arrests Commissioner IT, Shapoorji Pallonji group executive in Rs 70 lakh bribery case","Lavidiya, a 2004-batch Indian Revenue Service officer, was arrested along with Viral Kantilal Mehta, Deputy General Manager (Taxation) of Shapoorji Pallonji Group; Sairam Palisetty; Natta Veera Naga Sri Ram Gopal; and Sajida Majhar Hussain Shah, they said.",https://www.moneycontrol.com/news/business/cbi-arrests-commissioner-it-shapoorji-pallonji-group-executive-in-rs-70-lakh-bribery-case-13019914.html,RIIL.NS,0.535,negative
"CBI arrests Commissioner IT, Shapoorji Pallonji group executive in Rs 70 lakh bribery case","Lavidiya, a 2004-batch Indian Revenue Service officer, was arrested along with Viral Kantilal Mehta, Deputy General Manager (Taxation) of Shapoorji Pallonji Group; Sairam Palisetty; Natta Veera Naga Sri Ram Gopal; and Sajida Majhar Hussain Shah, they said.",https://www.moneycontrol.com/news/business/cbi-arrests-commissioner-it-shapoorji-pallonji-group-executive-in-rs-70-lakh-bribery-case-13019914.html,RELINFRA.NS,0.533,negative
"CBI arrests Commissioner IT, Shapoorji Pallonji group executive in Rs 70 lakh bribery case","Lavidiya, a 2004-batch Indian Revenue Service officer, was arrested along with Viral Kantilal Mehta, Deputy General Manager (Taxation) of Shapoorji Pallonji Group; Sairam Palisetty; Natta Veera Naga Sri Ram Gopal; and Sajida Majhar Hussain Shah, they said.",https://www.moneycontrol.com/news/business/cbi-arrests-commissioner-it-shapoorji-pallonji-group-executive-in-rs-70-lakh-bribery-case-13019914.html,CENTRALBK.NS,0.527,negative
Bombay HC stays Bhool Chuk Maaf's Prime Video premier as PVR Inox takes Maddock to court,"While the film was supposed to release on May 9, Maddock Films in a tweet on May 8 said that it will take the direct to  streaming route due to the rising tensions between India and Pakistan.",https://www.moneycontrol.com/entertainment/bombay-hc-stays-bhool-chuk-maaf-s-prime-video-premier-as-pvr-inox-takes-maddock-to-court-article-13019879.html,FLUOROCHEM.NS,0.568,negative
Bombay HC stays Bhool Chuk Maaf's Prime Video premier as PVR Inox takes Maddock to court,"While the film was supposed to release on May 9, Maddock Films in a tweet on May 8 said that it will take the direct to  streaming route due to the rising tensions between India and Pakistan.",https://www.moneycontrol.com/entertainment/bombay-hc-stays-bhool-chuk-maaf-s-prime-video-premier-as-pvr-inox-takes-maddock-to-court-article-13019879.html,DISHTV.NS,0.543,negative
Bombay HC stays Bhool Chuk Maaf's Prime Video premier as PVR Inox takes Maddock to court,"While the film was supposed to release on May 9, Maddock Films in a tweet on May 8 said that it will take the direct to  streaming route due to the rising tensions between India and Pakistan.",https://www.moneycontrol.com/entertainment/bombay-hc-stays-bhool-chuk-maaf-s-prime-video-premier-as-pvr-inox-takes-maddock-to-court-article-13019879.html,POLYPLEX.NS,0.54,negative
Bombay HC stays Bhool Chuk Maaf's Prime Video premier as PVR Inox takes Maddock to court,"While the film was supposed to release on May 9, Maddock Films in a tweet on May 8 said that it will take the direct to  streaming route due to the rising tensions between India and Pakistan.",https://www.moneycontrol.com/entertainment/bombay-hc-stays-bhool-chuk-maaf-s-prime-video-premier-as-pvr-inox-takes-maddock-to-court-article-13019879.html,ASALCBR.NS,0.537,negative
Bombay HC stays Bhool Chuk Maaf's Prime Video premier as PVR Inox takes Maddock to court,"While the film was supposed to release on May 9, Maddock Films in a tweet on May 8 said that it will take the direct to  streaming route due to the rising tensions between India and Pakistan.",https://www.moneycontrol.com/entertainment/bombay-hc-stays-bhool-chuk-maaf-s-prime-video-premier-as-pvr-inox-takes-maddock-to-court-article-13019879.html,SDBL.NS,0.537,negative
How To Use ChatGPT To Create a Loan Prepayment Plan: A Step-By-Step Guide,Become debt-free faster and save big on interest by planning your loan prepayment. Here's how ChatGPT can help you make a customized plan for yourself.,https://www.moneycontrol.com/news/business/personal-finance/how-to-use-chatgpt-to-create-a-loan-prepayment-plan-a-step-by-step-guide-13019521.html,CAMS.NS,0.497,neutral
How To Use ChatGPT To Create a Loan Prepayment Plan: A Step-By-Step Guide,Become debt-free faster and save big on interest by planning your loan prepayment. Here's how ChatGPT can help you make a customized plan for yourself.,https://www.moneycontrol.com/news/business/personal-finance/how-to-use-chatgpt-to-create-a-loan-prepayment-plan-a-step-by-step-guide-13019521.html,MAHABANK.NS,0.487,neutral
How To Use ChatGPT To Create a Loan Prepayment Plan: A Step-By-Step Guide,Become debt-free faster and save big on interest by planning your loan prepayment. Here's how ChatGPT can help you make a customized plan for yourself.,https://www.moneycontrol.com/news/business/personal-finance/how-to-use-chatgpt-to-create-a-loan-prepayment-plan-a-step-by-step-guide-13019521.html,CANFINHOME.NS,0.483,neutral
How To Use ChatGPT To Create a Loan Prepayment Plan: A Step-By-Step Guide,Become debt-free faster and save big on interest by planning your loan prepayment. Here's how ChatGPT can help you make a customized plan for yourself.,https://www.moneycontrol.com/news/business/personal-finance/how-to-use-chatgpt-to-create-a-loan-prepayment-plan-a-step-by-step-guide-13019521.html,UNIONBANK.NS,0.481,neutral
How To Use ChatGPT To Create a Loan Prepayment Plan: A Step-By-Step Guide,Become debt-free faster and save big on interest by planning your loan prepayment. Here's how ChatGPT can help you make a customized plan for yourself.,https://www.moneycontrol.com/news/business/personal-finance/how-to-use-chatgpt-to-create-a-loan-prepayment-plan-a-step-by-step-guide-13019521.html,CENTRALBK.NS,0.479,neutral
Delhi airport cancels 60 domestic flights due to Pak escalation after Operation Sindoor: Sources,"For now, flight restrictions across north and west India will remain in place till May 15. According to estimates,  around 650 domestic flights were cancelled as a precautionary measure on May 10.",https://www.moneycontrol.com/news/business/60-domestic-flights-cancelled-at-delhi-airport-due-to-pak-escalation-after-operation-sindoor-13019825.html,BLUEDART.NS,0.52,negative
Delhi airport cancels 60 domestic flights due to Pak escalation after Operation Sindoor: Sources,"For now, flight restrictions across north and west India will remain in place till May 15. According to estimates,  around 650 domestic flights were cancelled as a precautionary measure on May 10.",https://www.moneycontrol.com/news/business/60-domestic-flights-cancelled-at-delhi-airport-due-to-pak-escalation-after-operation-sindoor-13019825.html,CONCOR.NS,0.519,negative
Delhi airport cancels 60 domestic flights due to Pak escalation after Operation Sindoor: Sources,"For now, flight restrictions across north and west India will remain in place till May 15. According to estimates,  around 650 domestic flights were cancelled as a precautionary measure on May 10.",https://www.moneycontrol.com/news/business/60-domestic-flights-cancelled-at-delhi-airport-due-to-pak-escalation-after-operation-sindoor-13019825.html,GUJGASLTD.NS,0.509,negative
Delhi airport cancels 60 domestic flights due to Pak escalation after Operation Sindoor: Sources,"For now, flight restrictions across north and west India will remain in place till May 15. According to estimates,  around 650 domestic flights were cancelled as a precautionary measure on May 10.",https://www.moneycontrol.com/news/business/60-domestic-flights-cancelled-at-delhi-airport-due-to-pak-escalation-after-operation-sindoor-13019825.html,EIHOTEL.NS,0.508,negative
Delhi airport cancels 60 domestic flights due to Pak escalation after Operation Sindoor: Sources,"For now, flight restrictions across north and west India will remain in place till May 15. According to estimates,  around 650 domestic flights were cancelled as a precautionary measure on May 10.",https://www.moneycontrol.com/news/business/60-domestic-flights-cancelled-at-delhi-airport-due-to-pak-escalation-after-operation-sindoor-13019825.html,NBCC.NS,0.507,negative
"Ixigo suspends flight and hotel bookings for Turkey, Azerbaijan, and China","Ixigo in a post on X issued a statement saying, ""In solidarity with our nation, we have suspended flight and hotel bookings for Turkey, Azerbaijan, and China.""",https://www.moneycontrol.com/news/business/ixigo-suspends-flight-and-hotel-bookings-for-turkey-azerbaijan-and-china-13019828.html,INDHOTEL.NS,0.52,negative
"Ixigo suspends flight and hotel bookings for Turkey, Azerbaijan, and China","Ixigo in a post on X issued a statement saying, ""In solidarity with our nation, we have suspended flight and hotel bookings for Turkey, Azerbaijan, and China.""",https://www.moneycontrol.com/news/business/ixigo-suspends-flight-and-hotel-bookings-for-turkey-azerbaijan-and-china-13019828.html,EIHOTEL.NS,0.52,negative
"Ixigo suspends flight and hotel bookings for Turkey, Azerbaijan, and China","Ixigo in a post on X issued a statement saying, ""In solidarity with our nation, we have suspended flight and hotel bookings for Turkey, Azerbaijan, and China.""",https://www.moneycontrol.com/news/business/ixigo-suspends-flight-and-hotel-bookings-for-turkey-azerbaijan-and-china-13019828.html,CHALET.NS,0.517,negative
"Ixigo suspends flight and hotel bookings for Turkey, Azerbaijan, and China","Ixigo in a post on X issued a statement saying, ""In solidarity with our nation, we have suspended flight and hotel bookings for Turkey, Azerbaijan, and China.""",https://www.moneycontrol.com/news/business/ixigo-suspends-flight-and-hotel-bookings-for-turkey-azerbaijan-and-china-13019828.html,DELTACORP.NS,0.511,negative
"Ixigo suspends flight and hotel bookings for Turkey, Azerbaijan, and China","Ixigo in a post on X issued a statement saying, ""In solidarity with our nation, we have suspended flight and hotel bookings for Turkey, Azerbaijan, and China.""",https://www.moneycontrol.com/news/business/ixigo-suspends-flight-and-hotel-bookings-for-turkey-azerbaijan-and-china-13019828.html,TATAELXSI.NS,0.508,negative
Swiggy recovers some lost ground in food delivery from Zomato in Q4FY25,"Swiggy's food delivery business saw its adjusted EBITDA margins go up to 2.9 percent in Q4FY25, from 0.5 percent in Q4FY24.",https://www.moneycontrol.com/news/business/startup/swiggy-recovers-some-lost-ground-in-food-delivery-from-zomato-in-q4fy25-13019804.html,TATACONSUM.NS,0.535,positive
Swiggy recovers some lost ground in food delivery from Zomato in Q4FY25,"Swiggy's food delivery business saw its adjusted EBITDA margins go up to 2.9 percent in Q4FY25, from 0.5 percent in Q4FY24.",https://www.moneycontrol.com/news/business/startup/swiggy-recovers-some-lost-ground-in-food-delivery-from-zomato-in-q4fy25-13019804.html,TASTYBITE.NS,0.532,positive
Swiggy recovers some lost ground in food delivery from Zomato in Q4FY25,"Swiggy's food delivery business saw its adjusted EBITDA margins go up to 2.9 percent in Q4FY25, from 0.5 percent in Q4FY24.",https://www.moneycontrol.com/news/business/startup/swiggy-recovers-some-lost-ground-in-food-delivery-from-zomato-in-q4fy25-13019804.html,TRENT.NS,0.523,positive
Swiggy recovers some lost ground in food delivery from Zomato in Q4FY25,"Swiggy's food delivery business saw its adjusted EBITDA margins go up to 2.9 percent in Q4FY25, from 0.5 percent in Q4FY24.",https://www.moneycontrol.com/news/business/startup/swiggy-recovers-some-lost-ground-in-food-delivery-from-zomato-in-q4fy25-13019804.html,SHILPAMED.NS,0.52,positive
Swiggy recovers some lost ground in food delivery from Zomato in Q4FY25,"Swiggy's food delivery business saw its adjusted EBITDA margins go up to 2.9 percent in Q4FY25, from 0.5 percent in Q4FY24.",https://www.moneycontrol.com/news/business/startup/swiggy-recovers-some-lost-ground-in-food-delivery-from-zomato-in-q4fy25-13019804.html,EQUITASBNK.NS,0.514,positive
Bomb blast threat to Indore's Holkar Stadium mentions 'Operation Sindoor'; turns out hoax,"MPCA's (Madhya Pradesh Cricket Association) official email (ID) on Friday received a threatening message. The email, written in English, mentions that the stadium will be blasted due to 'Operation Sindoor' (of Indian armed forces),"" Tukoganj police station in-charge Jitendra Singh Yadav told PTI",https://www.moneycontrol.com/news/business/bomb-blast-threat-to-indore-s-holkar-stadium-mentions-operation-sindoor-turns-out-hoax-13019795.html,GODFRYPHLP.NS,0.541,negative
Bomb blast threat to Indore's Holkar Stadium mentions 'Operation Sindoor'; turns out hoax,"MPCA's (Madhya Pradesh Cricket Association) official email (ID) on Friday received a threatening message. The email, written in English, mentions that the stadium will be blasted due to 'Operation Sindoor' (of Indian armed forces),"" Tukoganj police station in-charge Jitendra Singh Yadav told PTI",https://www.moneycontrol.com/news/business/bomb-blast-threat-to-indore-s-holkar-stadium-mentions-operation-sindoor-turns-out-hoax-13019795.html,GPIL.NS,0.536,negative
Bomb blast threat to Indore's Holkar Stadium mentions 'Operation Sindoor'; turns out hoax,"MPCA's (Madhya Pradesh Cricket Association) official email (ID) on Friday received a threatening message. The email, written in English, mentions that the stadium will be blasted due to 'Operation Sindoor' (of Indian armed forces),"" Tukoganj police station in-charge Jitendra Singh Yadav told PTI",https://www.moneycontrol.com/news/business/bomb-blast-threat-to-indore-s-holkar-stadium-mentions-operation-sindoor-turns-out-hoax-13019795.html,BDL.NS,0.536,negative
