Title,Description,URL,PublishedAt,Source
UBS Will Pay $511 Million to End Credit Suisse US Tax Probe,"UBS Group AG agreed to pay $511 million to settle a US investigation into how Credit Suisse Group, the Swiss bank it bought, helped rich Americans evade taxes even after pledging to stop the practice a decade ago.",https://www.livemint.com/companies/news/ubs-will-pay-511-million-to-end-credit-suisse-us-tax-probe-11746482450378.html,2025-05-05T22:00:49Z,Livemint
"Rite Aid Files for Second Bankruptcy, Announces Job Cuts","Less than a year after completing a restructuring that was supposed to turn the troubled pharmacy chain around, Rite Aid Corp. has filed for bankruptcy again.",https://www.livemint.com/companies/news/rite-aid-files-for-second-bankruptcy-announces-job-cuts-11746478298267.html,2025-05-05T20:51:37Z,Livemint
OpenAI’s Nonprofit Will Retain Control After Public Pushback,"OpenAI is moving forward with plans to become a more conventional for-profit business, but with a key change designed to appease critics: After the restructuring is completed, the company’s nonprofit will remain in control of the overall business.",https://www.livemint.com/companies/news/openais-nonprofit-will-retain-control-after-public-pushback-11746470990086.html,2025-05-05T18:49:49Z,Livemint
"ITR Filing: इनकम टैक्स डिपार्टमेंट ने जारी किया ITR-2 फॉर्म, जानिए 5 बड़े बदलाव","ITR Filing: वित्त वर्ष 2024-25 (Assessment Year 2025-26) के लिए आयकर विभाग ने ITR-2 फॉर्म को नोटिफाई कर दिया है। यह फॉर्म उन इंडिविजुअल और हिंदू अविभाजित परिवारों (HUFs) के लिए है, जिन्हें व्यापार या पेशे (Business or Profession) से कोई आय नहीं होती। इस बार फ…",https://hindi.moneycontrol.com/news/your-money/income-tax-department-notifies-itr-2-form-key-changes-and-impact-1975509.html,2025-05-05T16:22:05Z,Moneycontrol
"Indian Hotels plans ₹1,200 crore investment for FY26, eyes sustained growth","Indian Hotels will invest  ₹1,200 crore in FY26, aiming for growth through asset upgrades and new projects, particularly in the Taj Hotels brand. FY25 results included a 53% net profit surge and a 23% revenue increase.",https://www.livemint.com/companies/news/indian-hotels-plans-1-200-crore-investment-for-fy26-eyes-sustained-growth-11746449090561.html,2025-05-05T16:11:53Z,Livemint
"Skechers set to be acquired and taken private by 3G Capital in $9 billion deal, shares jump over 25%","Under the terms of the definitive merger agreement , 3G Capital has agreed to pay $63.00 per share in cash for all outstanding shares of Skechers",https://www.livemint.com/companies/news/skechers-set-to-be-acquired-and-taken-private-by-3g-capital-in-9-billion-deal-shares-jump-over-25-per-cent-11746458621252.html,2025-05-05T15:44:20Z,Livemint
Ather Energy IPO: Will the slow and steady builder outperform Ola on the markets?,"Ather Energy has had a successful IPO and is all set to list. Will the stock fall below its IPO price, a curse that has befallen many newage companies, particularly rival Ola Electric, or will it soar on the hard work put in by the founders to build a deeptec…",https://www.livemint.com/companies/ather-energy-ipo-ola-electric-vehicle-scooter-deeptech-ev-two-wheeler-market-startup-hero-motocorp-tarun-mehta-11746451437091.html,2025-05-05T14:43:41Z,Livemint
"Cotton yarn industry set to spin 7–9% revenue growth in FY26 on China export rebound, domestic demand: Crisil","Yarn exports account for about 30% of the industry’s total revenue, with China alone making up nearly half of that share.",https://www.livemint.com/industry/cotton-yarn-revenue-growth-fy26-china-export-domestic-demand-crisil-11746436551303.html,2025-05-05T14:16:31Z,Livemint
Joy Personal Care to step up distribution as it plans to double revenues,The company will prioritize direct outreach to more outlets and step up its presence through e-commerce.,https://www.livemint.com/companies/news/joy-personal-care-to-step-up-distribution-as-it-plans-to-double-revenues-11746443107528.html,2025-05-05T14:08:21Z,Livemint
Highest-paid CEO of US earns nine figure salary. It's not Tim Cook or Satya Nadella; here's how much he earned in 2024,"The US'highest paid CEO, Jim Anderson, has not been much heard about. However, he is the only CEO in the top 10 list whose salary crosses nine figures at almost $101.50 million.",https://www.livemint.com/companies/people/world-highest-paid-ceo-earn-nine-figure-salary-not-tim-cook-or-satya-nadella-he-earned-in-2024-coherent-ceo-jim-anderson-11746445034408.html,2025-05-05T13:55:59Z,Livemint
"Amplus Solar rebrands as Gentari, Pungalia named India head","By consolidating Amplus Solar under its brand and appointing a new India head, Gentari is streamlining its clean energy operations to sharpen its focus on the country’s rapidly expanding renewable and green hydrogen markets.",https://www.livemint.com/companies/news/amplus-solar-rebrands-to-gentari-pungalia-takes-over-as-gentaris-india-head-11746446005411.html,2025-05-05T12:27:46Z,Livemint
