Date,Headline,Summary,Link,Ticker,RetrievalScore,Sentiment
,"FPIs continue to invest; inject Rs 14,167 crore in equities in May","This positive momentum follows a net investment of Rs 4,223 crore in April, marking the first inflow in three months, data with the depositories showed.",https://www.moneycontrol.com/news/business/markets/fpis-continue-to-invest-inject-rs-14-167-crore-in-equities-in-may-13020177.html,GOOG,0.411,positive
,"FPIs continue to invest; inject Rs 14,167 crore in equities in May","This positive momentum follows a net investment of Rs 4,223 crore in April, marking the first inflow in three months, data with the depositories showed.",https://www.moneycontrol.com/news/business/markets/fpis-continue-to-invest-inject-rs-14-167-crore-in-equities-in-may-13020177.html,MSFT,0.4,positive
,"FPIs continue to invest; inject Rs 14,167 crore in equities in May","This positive momentum follows a net investment of Rs 4,223 crore in April, marking the first inflow in three months, data with the depositories showed.",https://www.moneycontrol.com/news/business/markets/fpis-continue-to-invest-inject-rs-14-167-crore-in-equities-in-may-13020177.html,AAPL,0.363,positive
,Low interest personal loans: Check loan rates from top lenders in 2025,"Need cash without high interest eating into your budget? Discover low-interest personal loans from top banks—fully digital, hassle-free, and tailored to your needs.",https://www.moneycontrol.com/news/business/personal-finance/low-interest-personal-loans-check-loan-rates-from-top-lenders-in-2025-13017430.html,AAPL,0.408,neutral
,Low interest personal loans: Check loan rates from top lenders in 2025,"Need cash without high interest eating into your budget? Discover low-interest personal loans from top banks—fully digital, hassle-free, and tailored to your needs.",https://www.moneycontrol.com/news/business/personal-finance/low-interest-personal-loans-check-loan-rates-from-top-lenders-in-2025-13017430.html,GOOG,0.4,neutral
,Low interest personal loans: Check loan rates from top lenders in 2025,"Need cash without high interest eating into your budget? Discover low-interest personal loans from top banks—fully digital, hassle-free, and tailored to your needs.",https://www.moneycontrol.com/news/business/personal-finance/low-interest-personal-loans-check-loan-rates-from-top-lenders-in-2025-13017430.html,MSFT,0.351,neutral
,"Market turns defensive: Bearish candles, rising VIX, open interest data point to deeper correction","The appearance of a Bearish Engulfing candle on the weekly chart sends a clear message - the bulls are stepping back, and the market is showing signs of fatigue.",https://www.moneycontrol.com/news/business/markets/market-turns-defensive-bearish-candles-rising-vix-open-interest-data-point-to-deeper-correction-13020083.html,GOOG,0.41,negative
,"Market turns defensive: Bearish candles, rising VIX, open interest data point to deeper correction","The appearance of a Bearish Engulfing candle on the weekly chart sends a clear message - the bulls are stepping back, and the market is showing signs of fatigue.",https://www.moneycontrol.com/news/business/markets/market-turns-defensive-bearish-candles-rising-vix-open-interest-data-point-to-deeper-correction-13020083.html,AAPL,0.357,negative
,"Market turns defensive: Bearish candles, rising VIX, open interest data point to deeper correction","The appearance of a Bearish Engulfing candle on the weekly chart sends a clear message - the bulls are stepping back, and the market is showing signs of fatigue.",https://www.moneycontrol.com/news/business/markets/market-turns-defensive-bearish-candles-rising-vix-open-interest-data-point-to-deeper-correction-13020083.html,MSFT,0.352,negative
,US-China trade talks hold the key to commodity moves next week,"On the data front, US consumer inflation and retail sales data will be key to watch. The Fed has recently warned of stagflation risks, so hotter-than-expected inflation coupled with weaker retail sales could further reduce the likelihood of near-term rate cuts.",https://www.moneycontrol.com/news/business/commodities/us-china-trade-talks-hold-the-key-to-commodity-moves-next-week-13020069.html,GOOG,0.405,negative
